CustomerID,TotalAmount,Quantity,NumPurchases,Churn,Prediction
12346,77183.6,74215,1,1,0
12347,4310.0,2458,7,0,0
12348,1797.24,2341,4,0,0
12349,1757.55,631,1,0,0
12350,334.40000000000003,197,1,1,1
12352,2506.04,536,8,0,0
12353,89.0,20,1,1,1
12354,1079.4,530,1,1,1
12355,459.40000000000003,240,1,1,1
12356,2811.43,1591,3,0,0
12357,6207.67,2708,1,0,0
12358,1168.06,248,2,0,0
12359,6310.03,1609,4,0,0
12360,2662.06,1165,3,0,0
12361,189.9,91,1,1,1
12362,5226.2300000000005,2229,10,0,0
12363,552.0,408,2,1,1
12364,1313.1,1506,4,0,0
12365,641.38,174,2,1,1
12367,168.9,173,1,0,0
12370,3541.94,2352,4,0,0
12371,1887.96,591,2,0,0
12372,1298.04,794,3,0,0
12373,364.6,197,1,1,1
12374,742.9300000000001,342,1,0,0
12375,457.5,178,2,0,0
12377,1628.1200000000001,944,2,1,1
12378,4008.62,2529,1,1,1
12379,852.24,407,2,0,0
12380,2724.81,1127,4,0,0
12381,1845.31,808,5,0,0
12383,1850.56,1532,5,1,1
12384,585.27,126,2,0,0
12386,401.9,354,2,1,1
12388,2780.6600000000003,1462,6,0,0
12390,549.84,353,1,0,0
12391,439.66,293,1,0,0
12393,1582.6000000000001,816,4,0,0
12394,1272.48,819,2,0,0
12395,3018.63,2118,12,0,0
12397,2409.9,1263,2,0,0
12398,1635.6599999999999,1394,1,0,0
12399,1108.65,1178,4,1,1
12401,84.3,11,1,1,1
12402,225.60000000000002,94,1,1,1
12403,427.7,96,1,0,0
12405,1710.39,857,1,1,1
12406,3415.3,1818,2,0,0
12407,1708.12,1416,5,0,0
12408,2888.55,1409,5,0,0
12409,11072.67,5551,3,0,0
12410,693.33,211,2,1,1
12412,1226.88,829,3,0,0
12413,758.1,286,3,0,0
12414,562.4100000000001,300,3,1,0
12415,124914.53,77374,21,0,0
12417,3649.1,1552,9,0,0
12418,668.58,407,1,1,1
12420,600.39,345,1,0,0
12421,807.04,484,4,0,0
12422,803.5600000000001,370,3,1,1
12423,1859.31,1339,8,0,0
12424,1760.96,740,2,1,1
12425,777.2,496,1,0,0
12426,582.73,258,1,1,1
12427,825.8000000000001,533,3,0,0
12428,7956.46,3536,9,0,0
12429,3750.4,1557,4,0,0
12430,256.4,117,1,0,0
12431,6419.95,2896,15,0,0
12432,5059.32,1801,5,0,0
12433,13375.87,11071,7,0,0
12434,806.14,394,2,0,0
12435,7829.89,2055,2,0,0
12436,509.01,211,1,1,1
12437,4951.41,2922,18,0,0
12438,2906.85,1180,2,0,0
12441,173.55,121,1,1,1
12442,172.06,182,1,0,0
12444,5005.46,1153,5,0,0
12445,133.4,62,1,0,0
12446,1002.3100000000001,351,1,0,0
12447,476.49,190,1,1,1
12448,449.45,243,1,0,0
12449,4067.29,1553,4,0,0
12450,197.88,128,2,1,1
12451,9035.52,6575,5,0,0
12452,430.57000000000005,185,2,0,0
12453,707.09,473,1,1,1
12454,3528.34,1006,1,0,0
12455,2466.86,2089,6,0,0
12456,3181.04,1633,3,0,0
12457,2363.23,843,7,0,0
12458,947.4,506,2,0,0
12461,826.88,287,2,1,1
12462,1189.59,536,2,0,0
12463,1344.78,776,4,0,0
12464,1212.05,112,8,0,0
12465,742.19,479,2,0,0
12468,729.54,366,2,1,1
12471,19788.65,8200,30,0,0
12472,6572.11,4148,7,0,0
12473,3928.05,2414,5,0,0
12474,7324.09,4833,18,0,0
12475,723.38,535,1,0,0
12476,6816.42,2408,11,0,0
12477,13219.74,3653,6,0,0
12478,680.99,236,1,0,0
12479,527.2,385,1,0,0
12480,3281.63,1707,4,0,0
12481,5579.82,3294,10,0,0
12483,2484.98,1110,8,0,0
12484,4527.32,2187,6,0,0
12488,1298.66,529,3,0,0
12489,334.93,105,1,1,1
12490,5417.93,3064,10,0,0
12491,460.40000000000003,260,1,0,0
12492,263.21000000000004,192,2,0,0
12493,433.74,207,2,1,1
12494,1246.1,707,7,0,0
12497,1043.1,1236,1,0,0
12498,403.70000000000005,159,3,0,0
12500,4257.82,2678,11,0,0
12501,2169.39,1783,1,1,1
12502,3723.87,820,5,1,1
12504,482.04999999999995,90,2,0,0
12506,73.5,23,1,1,1
12507,1304.81,894,3,1,1
12508,397.88,271,2,0,0
12509,176.5,55,1,1,1
12510,982.5699999999999,353,2,1,1
12512,132.18,96,2,0,0
12513,612.29,462,1,1,1
12514,1017.6800000000001,440,1,1,0
12515,383.7,131,1,1,1
12516,1312.06,875,2,0,0
12517,2481.6,1361,5,0,0
12518,2056.89,1318,5,0,0
12519,330.84000000000003,175,1,0,0
12520,2634.26,1439,5,0,0
12521,599.68,309,1,1,1
12522,192.72,194,2,0,0
12523,1789.77,865,11,0,0
12524,4485.72,3699,8,0,0
12526,1316.66,632,3,0,0
12527,348.71000000000004,234,3,0,0
12528,1933.48,756,6,0,0
12530,1662.28,913,4,0,0
12531,125.22,45,1,0,0
12532,349.83000000000004,153,1,0,0
12534,1089.18,651,1,1,1
12535,716.35,219,2,1,1
12536,12601.830000000002,2803,3,0,0
12538,363.95,191,1,0,0
12539,5568.35,2067,4,0,0
12540,13400.24,6685,17,0,0
12541,981.18,680,3,0,0
12544,372.7,136,1,0,0
12545,1000.39,523,2,0,1
12546,1161.5,633,2,0,0
12547,207.8,134,2,1,1
12548,95.19999999999999,49,1,1,1
12550,964.83,569,1,0,0
12551,168.0,100,1,1,1
12552,437.82,88,2,0,0
12553,3692.28,1965,10,0,0
12556,599.56,355,2,0,0
12557,11990.960000000001,4384,5,0,0
12558,269.96,196,1,0,0
12559,561.71,283,2,1,1
12560,2134.01,1110,3,0,0
12561,238.85,177,1,1,1
12562,3781.7400000000002,1779,7,0,0
12564,456.90000000000003,133,1,1,1
12565,145.92000000000002,80,1,1,1
12566,351.65,265,1,0,0
12567,9401.28,4305,10,0,0
12569,4124.6900000000005,1801,32,0,0
12571,519.61,523,2,0,0
12572,1020.4200000000001,452,2,0,0
12573,160.54000000000002,84,1,1,1
12574,218.45000000000002,61,1,1,1
12576,1315.83,967,5,0,0
12577,626.6,469,3,0,0
12578,2794.51,1196,2,0,0
12579,440.42,285,1,0,0
12580,415.7,238,1,1,1
12581,197.71,161,1,0,0
12582,511.36,300,2,1,1
12583,7281.38,5060,15,0,0
12584,2338.15,416,9,0,0
12585,2040.1,1279,2,1,1
12586,196.94000000000003,79,1,0,0
12587,144.0,51,1,0,0
12588,214.89999999999998,53,1,0,0
12589,646.68,306,2,0,0
12590,9864.26,4283,2,1,1
12591,452.84999999999997,228,1,1,1
12592,437.6,290,2,1,1
12593,418.1,206,3,1,1
12594,3338.2200000000003,1777,10,0,0
12596,618.27,474,2,0,0
12597,3811.22,2236,4,0,0
12598,3023.08,1964,8,0,0
12599,1032.58,956,7,0,0
12600,2599.04,774,10,0,0
12601,577.0600000000001,245,5,1,1
12602,153.12,162,1,0,0
12603,739.1999999999999,63,1,0,0
12604,254.18,201,2,0,0
12607,1579.51,1228,1,0,0
12609,1126.85,648,3,0,0
12610,2099.54,1049,5,0,0
12611,1193.32,846,1,0,0
12612,704.04,262,1,0,0
12613,3344.38,1644,5,0,0
12614,315.6,76,1,1,1
12615,2291.19,1376,4,0,0
12616,713.3,284,2,1,1
12617,352.98,210,1,0,0
12618,177.31,96,1,0,0
12619,3641.24,3378,9,0,0
12620,1339.41,1181,3,0,0
12621,13689.67,7440,20,0,0
12622,180.1,69,1,1,1
12623,305.1,191,1,1,1
12624,641.13,355,2,1,1
12625,2683.82,1612,2,1,1
12626,6620.4800000000005,3453,9,0,0
12627,4478.53,2752,7,0,0
12628,786.46,448,3,0,0
12630,1270.88,548,2,0,0
12631,640.5,236,1,0,0
12633,2163.98,1162,4,0,0
12635,1689.18,1172,2,0,0
12637,6002.9,2994,8,0,0
12638,671.69,577,1,0,0
12639,486.1,201,1,1,1
12640,1174.58,311,3,0,0
12641,185.9,72,1,1,1
12642,1013.26,552,3,0,0
12643,3344.64,1808,6,1,1
12644,477.90999999999997,325,1,1,1
12645,1775.18,1084,4,0,0
12646,1346.97,897,2,0,0
12647,3722.82,1431,12,0,0
12648,318.05,160,1,1,1
12649,623.51,586,3,1,1
12650,314.44,254,1,0,0
12651,114.0,78,1,1,1
12652,919.98,505,1,1,1
12653,2209.85,919,2,1,0
12654,601.98,264,5,0,0
12656,4051.17,1723,5,0,0
12657,1643.18,1044,4,0,0
12658,686.05,320,1,0,0
12659,91.68,105,1,0,1
12660,245.10000000000002,127,1,0,0
12662,3849.78,2058,11,0,0
12664,4881.88,1203,9,0,0
12665,63.0,37,1,1,1
12667,620.13,395,1,0,0
12668,3807.15,1634,4,0,0
12669,2744.0299999999997,1115,3,1,1
12670,2996.05,1397,5,0,0
12672,225.9,78,1,1,1
12673,610.52,351,2,0,0
12674,1970.6,1133,4,0,0
12676,1331.39,670,6,0,0
12678,17628.46,10923,12,0,0
12679,1113.02,554,4,0,0
12680,862.81,443,4,0,0
12681,13787.54,7536,22,0,0
12682,12279.82,5555,31,0,0
12683,8476.57,4987,15,0,0
12684,2283.63,1985,7,0,0
12685,2863.08,1523,6,0,0
12686,89.14,107,1,1,1
12688,4873.81,3028,1,1,1
12689,1247.6100000000001,628,2,0,0
12690,389.01,106,1,1,1
12691,1035.8,394,6,0,0
12693,855.91,255,4,1,0
12694,869.67,509,2,0,0
12695,582.1,220,4,0,1
12697,957.59,508,3,0,0
12700,4939.99,2967,4,0,0
12701,797.71,678,2,0,0
12702,219.0,53,1,0,0
12703,283.55,164,1,0,1
12704,2340.84,1006,8,0,0
12705,6868.29,3997,9,0,0
12707,603.42,256,1,1,1
12708,2712.91,1307,10,0,0
12709,9706.52,3912,15,0,0
12710,1149.02,851,3,1,1
12712,4396.13,1062,13,0,0
12713,848.55,508,1,0,0
12714,4708.86,3069,5,0,0
12715,343.36,192,1,1,1
12716,1053.49,708,2,0,0
12717,1030.98,506,2,1,1
12718,238.25,203,1,0,0
12719,644.95,374,2,0,0
12720,5781.7300000000005,4672,25,0,0
12721,2656.13,1959,6,0,0
