InvoiceDate,TotalAmount,RollingMean7,RollingStd7,Day,Month,Year,Weekday,Week,Quarter
2010-12-01,46192.49,,,1,12,2010,Wednesday,48,4
2010-12-02,47197.57,,,2,12,2010,Thursday,48,4
2010-12-03,23876.63,,,3,12,2010,Friday,48,4
2010-12-05,31361.28,,,5,12,2010,Sunday,48,4
2010-12-06,31009.33,,,6,12,2010,Monday,49,4
2010-12-07,53730.96,,,7,12,2010,Tuesday,49,4
2010-12-08,39094.2,38923.208571428564,10699.04991456629,8,12,2010,Wednesday,49,4
2010-12-09,38193.91,37780.55428571429,10209.210111856282,9,12,2010,Thursday,49,4
2010-12-10,33488.38,35822.09857142857,9383.15476701276,10,12,2010,Friday,49,4
2010-12-12,17102.35,34854.34428571428,11026.033503895615,12,12,2010,Sunday,49,4
2010-12-13,27578.34,34313.92428571429,11314.701740073779,13,12,2010,Monday,50,4
2010-12-14,29235.13,34060.467142857146,11420.44203129884,14,12,2010,Tuesday,50,4
2010-12-15,30251.47,30706.25428571428,7431.7330851757115,15,12,2010,Wednesday,50,4
2010-12-16,48791.87,32091.635714285716,9786.732774836655,16,12,2010,Thursday,50,4
2010-12-17,19966.36,29487.7,10303.737361566113,17,12,2010,Friday,50,4
2010-12-19,7292.95,25745.495714285713,13010.091329328245,19,12,2010,Sunday,50,4
2010-12-20,19599.06,26102.16857142857,12765.572541325662,20,12,2010,Monday,51,4
2010-12-21,15929.16,24438.0,13289.619231540586,21,12,2010,Tuesday,51,4
2010-12-22,4886.52,20959.62714285714,14912.177606106266,22,12,2010,Wednesday,51,4
2010-12-23,5644.77,17444.384285714284,15253.121128410474,23,12,2010,Thursday,51,4
2011-01-04,12105.11,12203.418571428572,6448.709986117201,4,1,2011,Tuesday,1,1
2011-01-05,28799.43,13465.285714285714,8694.18711765292,5,1,2011,Wednesday,1,1
2011-01-06,34343.79,17329.69142857143,11156.553606043148,6,1,2011,Thursday,1,1
2011-01-07,23797.79,17929.510000000002,11408.914054175651,7,1,2011,Friday,1,1
2011-01-09,15590.68,17881.155714285716,11419.51748879356,9,1,2011,Sunday,1,1
2011-01-10,15330.83,19373.2,10037.367756782654,10,1,2011,Monday,2,1
2011-01-11,60243.73,27173.05142857143,16636.10113062797,11,1,2011,Tuesday,2,1
2011-01-12,17124.74,27890.14142857143,15973.338944237084,12,1,2011,Wednesday,2,1
2011-01-13,15159.46,25941.574285714283,16661.08434207776,13,1,2011,Thursday,2,1
2011-01-14,39509.7,26679.56142857143,17200.943869698385,14,1,2011,Friday,2,1
2011-01-16,6976.39,24276.50428571429,18773.75114535084,16,1,2011,Sunday,2,1
2011-01-17,16527.05,24410.271428571432,18704.75712695341,17,1,2011,Monday,3,1
2011-01-18,87559.21,34728.611428571436,29606.5388009245,18,1,2011,Tuesday,3,1
2011-01-19,21586.78,29206.190000000002,27590.72708708369,19,1,2011,Wednesday,3,1
2011-01-20,15197.08,28930.81,27740.62068832876,20,1,2011,Thursday,3,1
2011-01-21,24276.01,30233.17428571429,27194.96347405457,21,1,2011,Friday,3,1
2011-01-23,10306.1,26061.231428571427,27768.671916294108,23,1,2011,Sunday,3,1
2011-01-24,17601.87,27579.15714285714,26825.96930238665,24,1,2011,Monday,4,1
2011-01-25,23994.38,28645.91857142857,26459.187028717413,25,1,2011,Tuesday,4,1
2011-01-26,17424.45,18626.667142857143,5049.407967823918,26,1,2011,Wednesday,4,1
2011-01-27,22050.49,18692.911428571428,5097.527205183001,27,1,2011,Thursday,4,1
2011-01-28,17247.2,18985.785714285714,4918.968699035917,28,1,2011,Friday,4,1
2011-01-30,6542.61,16452.442857142858,6152.220263356715,30,1,2011,Sunday,4,1
2011-01-31,18806.43,17666.77571428571,5545.875042900061,31,1,2011,Monday,5,1
2011-02-01,26358.7,18917.75142857143,6443.74546002407,1,2,2011,Tuesday,5,1
2011-02-02,17091.15,17931.575714285715,6053.754354007251,2,2,2011,Wednesday,5,1
2011-02-03,22171.9,18609.782857142858,6250.214259387993,3,2,2011,Thursday,5,1
2011-02-04,18087.96,18043.707142857143,6063.302334272167,4,2,2011,Friday,5,1
2011-02-06,3439.67,16071.202857142856,8225.872560828442,6,2,2011,Sunday,5,1
2011-02-07,23382.97,18476.96857142857,7395.311268318199,7,2,2011,Monday,6,1
2011-02-08,14153.34,17812.24142857143,7567.870203492797,8,2,2011,Tuesday,6,1
2011-02-09,11910.83,15748.26,6777.41991069363,9,2,2011,Wednesday,6,1
2011-02-10,14155.36,15328.86142857143,6771.302614724936,10,2,2011,Thursday,6,1
2011-02-11,18579.96,14815.727142857142,6284.936383474665,11,2,2011,Friday,6,1
2011-02-13,5645.4800000000005,13038.23,6931.4741602538215,13,2,2011,Sunday,6,1
2011-02-14,22999.39,15832.475714285714,6333.899468928681,14,2,2011,Monday,7,1
2011-02-15,37750.62,17884.99714285714,10284.412723166242,15,2,2011,Tuesday,7,1
2011-02-16,23413.97,19207.944285714282,10319.946884441564,16,2,2011,Wednesday,7,1
2011-02-17,17659.64,20029.202857142856,9861.000050371349,17,2,2011,Thursday,7,1
2011-02-18,14438.73,20069.684285714287,9833.410883260625,18,2,2011,Friday,7,1
2011-02-20,9437.8,18763.661428571428,10638.40239171187,20,2,2011,Sunday,7,1
2011-02-21,32724.38,22632.075714285715,9975.939455544789,21,2,2011,Monday,8,1
2011-02-22,29116.63,23505.967142857142,10276.874760204282,22,2,2011,Tuesday,8,1
2011-02-23,19315.97,20872.445714285714,8162.748967667807,23,2,2011,Wednesday,8,1
2011-02-24,21463.94,20593.87,8094.5466524279955,24,2,2011,Thursday,8,1
2011-02-25,18377.14,20696.37,8055.647661733967,25,2,2011,Friday,8,1
2011-02-27,9382.710000000001,19974.08142857143,8893.346710351181,27,2,2011,Sunday,8,1
2011-02-28,15026.68,20772.492857142857,7995.321789975503,28,2,2011,Monday,9,1
2011-03-01,23621.59,19472.094285714287,6284.683978973152,1,3,2011,Tuesday,9,1
2011-03-02,18666.14,17979.16714285714,4637.064252353748,2,3,2011,Wednesday,9,1
2011-03-03,32818.19,19908.05571428571,7318.691469014696,3,3,2011,Thursday,9,1
2011-03-04,17302.55,19313.571428571428,7340.225610368811,4,3,2011,Friday,9,1
2011-03-06,9951.67,18109.932857142856,8163.9506973252255,6,3,2011,Sunday,9,1
2011-03-07,20247.850000000002,19662.09571428571,7204.655324811069,7,3,2011,Monday,10,1
2011-03-08,22184.11,20684.585714285717,6940.190039525467,8,3,2011,Tuesday,10,1
2011-03-09,20320.23,20212.96285714286,6818.44545803199,9,3,2011,Wednesday,10,1
2011-03-10,24429.77,21036.338571428572,6947.305944818769,10,3,2011,Thursday,10,1
2011-03-11,20894.75,19332.989999999998,4663.485983210403,11,3,2011,Friday,10,1
2011-03-13,4117.22,17449.37142857143,7450.38530026563,13,3,2011,Sunday,10,1
2011-03-14,25866.33,19722.894285714287,7205.284731153595,14,3,2011,Monday,11,1
2011-03-15,14896.28,18958.384285714284,7420.984509285934,15,3,2011,Tuesday,11,1
2011-03-16,21715.11,18891.384285714284,7389.055801232554,16,3,2011,Wednesday,11,1
2011-03-17,31976.510000000002,20556.567142857144,8919.622105707376,17,3,2011,Thursday,11,1
2011-03-18,23334.600000000002,20400.114285714288,8849.692789008468,18,3,2011,Friday,11,1
2011-03-20,19880.99,20255.29142857143,8848.543992031355,20,3,2011,Sunday,11,1
2011-03-21,16020.1,21955.70285714286,5874.238794538153,21,3,2011,Monday,12,1
2011-03-22,19016.94,20977.21857142857,5681.569479317682,22,3,2011,Tuesday,12,1
2011-03-23,21566.02,21930.038571428573,5011.5733064558535,23,3,2011,Wednesday,12,1
2011-03-24,36496.79,24041.707142857143,7434.4383988519085,24,3,2011,Thursday,12,1
2011-03-25,27271.1,23369.505714285715,6781.471624433383,25,3,2011,Friday,12,1
2011-03-27,9189.77,21348.815714285716,8644.955314549741,27,3,2011,Sunday,12,1
2011-03-28,19961.67,21360.34142857143,8642.725701940382,28,3,2011,Monday,13,1
2011-03-29,37190.52,24384.687142857143,10051.782192271034,29,3,2011,Tuesday,13,1
2011-03-30,29523.85,25885.674285714285,9899.978957103656,30,3,2011,Wednesday,13,1
2011-03-31,25621.11,26464.972857142857,9722.130882474125,31,3,2011,Thursday,13,1
2011-04-01,24487.9,24749.41714285714,8658.218787263564,1,4,2011,Friday,13,2
2011-04-03,6872.53,21835.335714285717,10828.739776545028,3,4,2011,Sunday,13,2
2011-04-04,28998.010000000002,24665.084285714285,9477.26105594483,4,4,2011,Monday,14,2
2011-04-05,28667.42,25908.762857142858,9327.202985879016,5,4,2011,Tuesday,14,2
2011-04-06,12698.32,22409.877142857145,8977.03218217415,6,4,2011,Wednesday,14,2
2011-04-07,16780.32,20589.372857142855,8577.162444840975,7,4,2011,Thursday,14,2
2011-04-08,22673.91,20168.344285714287,8358.55205413963,8,4,2011,Friday,14,2
2011-04-10,9879.75,18081.465714285714,8906.023525818271,10,4,2011,Sunday,14,2
2011-04-11,20179.7,19982.489999999998,7409.10053224186,11,4,2011,Monday,15,2
2011-04-12,23988.6,19266.859999999997,6589.803443763195,12,4,2011,Tuesday,15,2
2011-04-13,24450.27,18664.41,5722.902024055039,13,4,2011,Wednesday,15,2
2011-04-14,35682.73,21947.897142857142,7906.427938442898,14,4,2011,Thursday,15,2
2011-04-15,17999.181,22122.02014285714,7786.16176720298,15,4,2011,Friday,15,2
2011-04-17,12630.34,20687.22442857143,8554.948165809104,17,4,2011,Sunday,15,2
2011-04-18,43671.37,25514.598714285712,10704.1072754173,18,4,2011,Monday,16,2
2011-04-19,18811.19,25319.097285714288,10829.54657269415,19,4,2011,Tuesday,16,2
