ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-01,27539.461434111196,28259.127888303632,55703.28242045541,27539.461434111196,27539.461434111196,14720.562410987071,14720.562410987071,14720.562410987071,-1351.3264126411839,-1351.3264126411839,-1351.3264126411839,16071.888823628255,16071.888823628255,16071.888823628255,0.0,0.0,0.0,42260.023845098265
2010-12-02,27547.418343183333,36980.34761893041,64588.17280509536,27547.418343183333,27547.418343183333,23081.109750352392,23081.109750352392,23081.109750352392,7440.110857845459,7440.110857845459,7440.110857845459,15640.998892506937,15640.998892506937,15640.998892506937,0.0,0.0,0.0,50628.52809353573
2010-12-03,27555.37525225547,25774.348309910063,52971.90927907811,27555.37525225547,27555.37525225547,11958.170408186132,11958.170408186132,11958.170408186132,-3101.705648127522,-3101.705648127522,-3101.705648127522,15059.876056313655,15059.876056313655,15059.876056313655,0.0,0.0,0.0,39513.5456604416
2010-12-05,27571.289070399755,13526.859123750795,40812.89517329953,27571.289070399755,27571.289070399755,-481.52924348612555,-481.52924348612555,-481.52924348612555,-13912.727508985136,-13912.727508985136,-13912.727508985136,13431.19826549901,13431.19826549901,13431.19826549901,0.0,0.0,0.0,27089.75982691363
2010-12-06,27579.245979471892,25461.054475004923,51608.30852418541,27579.245979471892,27579.245979471892,10717.776847089564,10717.776847089564,10717.776847089564,-1666.2835831002894,-1666.2835831002894,-1666.2835831002894,12384.060430189855,12384.060430189855,12384.060430189855,0.0,0.0,0.0,38297.02282656146
2010-12-07,27587.20288854403,29206.513016431734,54788.07129005233,27587.20288854403,27587.20288854403,14462.879763086685,14462.879763086685,14462.879763086685,3275.0560697467413,3275.0560697467413,3275.0560697467413,11187.823693339948,11187.823693339948,11187.823693339948,0.0,0.0,0.0,42050.08265163071
2010-12-08,27595.159797616172,22700.27850509221,49645.62786328433,27595.159797616172,27595.159797616172,8500.176303133088,8500.176303133088,8500.176303133088,-1351.3264127092918,-1351.3264127092918,-1351.3264127092918,9851.50271584238,9851.50271584238,9851.50271584238,0.0,0.0,0.0,36095.336100749264
2010-12-09,27603.11670668831,30305.925468291814,56791.926523124384,27603.11670668831,27603.11670668831,15827.705134172973,15827.705134172973,15827.705134172973,7440.110857855534,7440.110857855534,7440.110857855534,8387.594276317439,8387.594276317439,8387.594276317439,0.0,0.0,0.0,43430.82184086128
2010-12-10,27611.073615760448,18652.61265622588,44612.07534094429,27611.073615760448,27611.073615760448,3710.2064276140554,3710.2064276140554,3710.2064276140554,-3101.7056481285076,-3101.7056481285076,-3101.7056481285076,6811.912075742564,6811.912075742564,6811.912075742564,0.0,0.0,0.0,31321.280043374503
2010-12-12,27626.98743390473,3872.706952183358,30133.300139312036,27626.98743390473,27626.98743390473,-10509.276926161918,-10509.276926161918,-10509.276926161918,-13912.727509008137,-13912.727509008137,-13912.727509008137,3403.45058284622,3403.45058284622,3403.45058284622,0.0,0.0,0.0,17117.710507742813
2010-12-13,27634.94434333856,14170.595683283063,41329.38937286897,27634.94434333856,27634.94434333856,-50.11386709345986,-50.11386709345986,-50.11386709345986,-1666.2835831238485,-1666.2835831238485,-1666.2835831238485,1616.1697160303888,1616.1697160303888,1616.1697160303888,0.0,0.0,0.0,27584.8304762451
2010-12-14,27642.901252772393,17672.735249559217,44210.60375107317,27642.901252772393,27642.901252772393,3082.2630855747225,3082.2630855747225,3082.2630855747225,3275.0560697039577,3275.0560697039577,3275.0560697039577,-192.79298412923507,-192.79298412923507,-192.79298412923507,0.0,0.0,0.0,30725.164338347116
2010-12-15,27650.858162206223,11119.364340905817,37450.81338550381,27650.858162206223,27650.858162206223,-3347.773348758699,-3347.773348758699,-3347.773348758699,-1351.3264126710615,-1351.3264126710615,-1351.3264126710615,-1996.4469360876374,-1996.4469360876374,-1996.4469360876374,0.0,0.0,0.0,24303.084813447524
2010-12-16,27658.81507164006,17240.706322416685,44605.9648631727,27658.81507164006,27658.81507164006,3672.993453531952,3672.993453531952,3672.993453531952,7440.110857865609,7440.110857865609,7440.110857865609,-3767.1174043336578,-3767.1174043336578,-3767.1174043336578,0.0,0.0,0.0,31331.80852517201
2010-12-17,27666.771981073893,5660.129308643105,32315.43257325551,27666.771981073893,27666.771981073893,-8578.769631898762,-8578.769631898762,-8578.769631898762,-3101.7056481174,-3101.7056481174,-3101.7056481174,-5477.0639837813615,-5477.0639837813615,-5477.0639837813615,0.0,0.0,0.0,19088.00234917513
2010-12-19,27682.685799941555,-8502.631876408934,18052.395277448508,27682.685799941555,27682.685799941555,-22520.01979885315,-22520.01979885315,-22520.01979885315,-13912.727508965036,-13912.727508965036,-13912.727508965036,-8607.292289888113,-8607.292289888113,-8607.292289888113,0.0,0.0,0.0,5162.666001088404
2010-12-20,27690.642709375385,3584.0107101560066,28254.06475902673,27690.642709375385,27690.642709375385,-11643.722362305027,-11643.722362305027,-11643.722362305027,-1666.283583129791,-1666.283583129791,-1666.283583129791,-9977.438779175236,-9977.438779175236,-9977.438779175236,0.0,0.0,0.0,16046.920347070358
2010-12-21,27698.599618809218,6026.8598513237885,32754.071637040688,27698.599618809218,27698.599618809218,-7912.72920332606,-7912.72920332606,-7912.72920332606,3275.0560697714272,3275.0560697714272,3275.0560697714272,-11187.785273097488,-11187.785273097488,-11187.785273097488,0.0,0.0,0.0,19785.870415483158
2010-12-22,27706.556528243047,1234.8316276968285,27768.187674764922,27706.556528243047,27706.556528243047,-13570.815296447554,-13570.815296447554,-13570.815296447554,-1351.3264126859988,-1351.3264126859988,-1351.3264126859988,-12219.488883761554,-12219.488883761554,-12219.488883761554,0.0,0.0,0.0,14135.741231795493
2010-12-23,27714.51343854606,8415.74154521342,36678.58526776528,27714.51343854606,27714.51343854606,-5616.989504743691,-5616.989504743691,-5616.989504743691,7440.110857834425,7440.110857834425,7440.110857834425,-13057.100362578118,-13057.100362578118,-13057.100362578118,0.0,0.0,0.0,22097.523933802368
2011-01-04,27809.996362182166,9252.505095942151,36126.33412223283,27809.996362182166,27809.996362182166,-4661.732465123667,-4661.732465123667,-4661.732465123667,3275.0560697365227,3275.0560697365227,3275.0560697365227,-7936.788534860189,-7936.788534860189,-7936.788534860189,0.0,0.0,0.0,23148.2638970585
2011-01-05,27817.953272485178,6143.189171572475,33351.509851390525,27817.953272485178,27817.953272485178,-8038.544693215475,-8038.544693215475,-8038.544693215475,-1351.3264126017298,-1351.3264126017298,-1351.3264126017298,-6687.218280613745,-6687.218280613745,-6687.218280613745,0.0,0.0,0.0,19779.408579269704
2011-01-06,27825.910182788186,16842.033555789778,41632.51148871463,27825.910182788186,27825.910182788186,2011.0281398817965,2011.0281398817965,2011.0281398817965,7440.110857854577,7440.110857854577,7440.110857854577,-5429.082717972781,-5429.082717972781,-5429.082717972781,0.0,0.0,0.0,29836.938322669983
2011-01-07,27833.867093091194,7558.304632489028,34106.11363110586,27833.867093091194,27833.867093091194,-7293.708688172231,-7293.708688172231,-7293.708688172231,-3101.705648142185,-3101.705648142185,-3101.705648142185,-4192.003040030046,-4192.003040030046,-4192.003040030046,0.0,0.0,0.0,20540.158404918962
2011-01-09,27849.780913697214,-949.1057436321075,25041.15135998887,27849.780913697214,27849.780913697214,-15806.898211629285,-15806.898211629285,-15806.898211629285,-13912.727509016102,-13912.727509016102,-13912.727509016102,-1894.1707026131814,-1894.1707026131814,-1894.1707026131814,0.0,0.0,0.0,12042.88270206793
